rank,build_window,brand_fit,asset,format,tool_escalation,distinct_angle,backing_pages,competitors,median_words,total_domains,total_backlinks,backing_urls,angle_gaps
464,LATER,CORE,The Video Interview Playbook for Screening Candidates AI Can't Coach,Definitional explainer,,Replaces the stale 2021 setup-and-benefits framing with current figures and adds the structured scoring rubric and anti-cheating angle the page never covers — the gap that matters most to hiring teams now.,1,1,1877,5,20,https://recruiterflow.com/blog/the-ultimate-recruiters-guide-in-video-interviewing/,"[https://recruiterflow.com/blog/the-ultimate-recruiters-guide-in-video-interviewing/] Published 2021 and never refreshed — the '86% of businesses' and 'quarter of Americans have no internet' stats carry no current sourcing, and structurally it's a basic setup-and-benefits listicle with nothing on writing structured video-interview questions, scoring rubrics, or spotting AI-coached/rehearsed answers."
465,LATER,CORE,The Talent Assessment Tools That Actually Hold Up to an Adverse-Impact Audit,Rankings / comparison,,"Where the competitor page ranks tools on star ratings and surface pros/cons, ours ranks the same tools against validity and EEOC/adverse-impact defensibility — the buying criteria a compliance-conscious TA leader needs that this page never raises.",1,1,4814,5,9,https://recruiterflow.com/blog/best-talent-assessment-tools/,"[https://recruiterflow.com/blog/best-talent-assessment-tools/] The listicle scores each of 25 tools on G2/Capterra star ratings and generic user-review pros/cons (e.g. 'complex UI', 'limited marketplaces') but never engages the criteria that actually matter for a compliance-conscious talent-assessment buyer — test validity, adverse-impact/EEOC defensibility, or proctoring rigor — leaving the ranking cosmetic rather than evaluative."
466,LATER,CORE,"The Aptitude Tests That Actually Predict Job Performance, Type by Type",Listicle,,"Replaces the duplicated, example-free aptitude-type list with one worked sample question per type plus the public validity research linking each type to a job outcome.",1,1,1816,5,7,https://blog.mettl.com/types-of-aptitude-test/,"[https://blog.mettl.com/types-of-aptitude-test/] 'Logical and critical reasoning test' is listed twice with near-duplicate copy, every aptitude type gets one generic paragraph with no sample question, and there's no cited data on which aptitude type actually correlates with on-the-job performance for a given role."
467,LATER,CORE,"Digital Marketing Skills That Actually Predict Campaign Performance, Not Just Vocabulary",Product / landing page,,"Replaces the trivia-style sample questions (character limits, term definitions) with scenario-based competency examples tied to real campaign outcomes — the applied depth this page lacks.",1,1,1968,5,8,https://mettl.com/test/digital-marketing-assessment/,"[https://mettl.com/test/digital-marketing-assessment/] Sample questions are trivia/definition-level (e.g. 'What is the character limit in Google Ads headlines?', 'Define SEO') rather than scenario-based skill checks, and the competency list never touches current digital-marketing skill areas like AI-assisted ad optimization or marketing analytics tooling."
468,LATER,CORE,Why General Aptitude Tests Draw the Most Legal Scrutiny — and How to Use Them Without the Risk,Product / landing page,,"Covers the adverse-impact/EEOC defensibility question this page never raises, replacing its recycled boilerplate copy with a real legal-risk framing for cognitive ability testing.",1,1,1357,5,6,https://mettl.com/test/job-aptitude-test/,"[https://mettl.com/test/job-aptitude-test/] The page recycles the same sentence verbatim across unrelated sections ('Assess critical experiences, domain knowledge...' appears under both 'Proven outcomes' and 'Commitment to your success'), and it never once addresses adverse-impact/EEOC defensibility — the single biggest known legal risk with general aptitude/cognitive tests since Griggs v. Duke Power."
469,LATER,CORE,The Excel Skills That Separate Someone Who Knows Formulas From Someone Who Can Build a Model,Product / landing page,,"Adds real worked example questions per subskill (formulas, macros, pivot tables) where this page only lists category names with no demonstration of an actual item.",1,1,1280,5,6,https://mettl.com/en/test/microsoft-excel-skills-knowledge-assessment/,"[https://mettl.com/en/test/microsoft-excel-skills-knowledge-assessment/] Despite naming specific functions (VLOOKUP, XLOOKUP, macros, pivot tables), the page shows zero actual sample questions or worked examples — every subskill section is a one-line description with no demonstration of what a real test item looks like."
470,LATER,CORE,ASP.NET MVC vs ASP.NET Core — What to Actually Test For Depending on Which One You're Hiring,Product / landing page,,"Draws the line this page blurs between legacy ASP.NET MVC and modern ASP.NET Core skills, mapping concrete competencies to each so recruiters test the right framework version.",1,1,1126,5,7,https://mettl.com/test/asp-net-online-test/,"[https://mettl.com/test/asp-net-online-test/] The page conflates legacy ASP.NET MVC 5 concepts (Razor syntax, conventional routing) with references to ASP.NET Core and Angular without ever distinguishing which framework generation is being tested, leaving a hiring manager unclear on what skill set the test actually covers — and it shows only one sample MCQ, no coding sample despite advertising '19 MCQs + 1 coding.'"
471,LATER,CORE,Building a Succession Plan on Proven Skills Instead of Tenure or Gut Feel,Product / landing page,,"Replaces the page's repeated boilerplate with a concrete, evidence-based framework for what actually qualifies someone as succession-ready, including a worked example of the competencies measured.",1,1,1339,5,8,https://mettl.com/succession-planning/,"[https://mettl.com/succession-planning/] The page is generic corporate copy that repeats the identical line ('Assess critical experiences, domain knowledge and essential behavioral competencies in your future leaders') verbatim under both 'Career mapping' and 'Proven outcomes,' and never lays out a concrete framework for what evidence actually qualifies someone as succession-ready."
472,LATER,CORE,Aptitude Testing for Philippine Hiring Teams: What the Scores Actually Predict,Product / landing page,,"Grounds the same pitch in real Philippine hiring context — sample test items, how scores map to on-the-job performance, and local role coverage — where the original page is a global template with the country name swapped in.",1,1,1423,5,5,https://mettl.com/ph/aptitude-tests/,"[https://mettl.com/ph/aptitude-tests/] The page slaps 'Philippines' onto otherwise generic global aptitude-test marketing copy — every claim (2000+ job roles, fluid/crystallized reasoning, leadership identification) is template boilerplate with zero local labor-market detail: no Philippine role coverage specifics, no local compliance notes, no example test items or score interpretation."
473,LATER,CORE,How Coding Assessment Platforms Actually Differ on the Features That Predict a Good Technical Hire,Listicle,,"Turns the page's uncompared feature list into a side-by-side breakdown of how platforms actually differ on each feature, and closes out the ROI section the original leaves unquantified.",1,1,2028,5,12,https://blog.mettl.com/guide/coding-interview-platform-tool/,"[https://blog.mettl.com/guide/coding-interview-platform-tool/] The '10 must-have features' (role-based library, AI proctoring, IDE simulators, code playback) are each described in isolation with no side-by-side comparison of how competing platforms implement them, and the 'Measuring ROI' section is only introduced, never quantified with a real cost/benefit figure."
474,LATER,CORE,Cognitive Ability in Hiring: What It Actually Predicts and How to Measure It,Glossary,,"Where Mettl's definition stops at 'ability to generate knowledge,' ours breaks cognitive intelligence into the specific sub-abilities (reasoning, memory, attention) recruiters can test for and ties each to a job-performance example — the concrete depth this page skips.",1,1,455,5,5,https://mettl.com/glossary/c/cognitive-intelligence/,"[https://mettl.com/glossary/c/cognitive-intelligence/] The whole entry is two short paragraphs defining cognitive intelligence generically ('ability to generate knowledge using existing information'); it never names an actual cognitive-ability test format, never distinguishes cognitive intelligence from IQ/aptitude, and gives zero examples of how a score translates into on-the-job performance."
